2G,3G,4G,Operateur,result_city
1,1,1,Bouygues,Quimper
0,1,0,Free,Quimper
1,1,0,Orange,Quimper
1,1,1,Orange,Bénodet
1,1,1,SFR,Bénodet
1,1,1,Bouygues,Bénodet
1,1,0,Orange,Pont-de-Buis-lčs-Quimerch
1,1,1,SFR,Pont-de-Buis-lčs-Quimerch
1,1,1,Bouygues,Pont-de-Buis-lčs-Quimerch
0,1,1,Free,Pont-de-Buis-lčs-Quimerch
1,0,0,SFR,Quimper
1,0,0,Orange,Quimper
0,0,0,Orange,Quimper
1,1,0,Orange,Saint-Derrien
1,1,0,SFR,Saint-Derrien
1,1,0,Bouygues,Saint-Derrien
0,1,0,Free,Saint-Derrien
1,1,1,Orange,Plouescat
1,1,1,Bouygues,Plouescat
0,1,1,Free,Plouescat
0,1,1,Free,Quimper
0,1,0,Orange,Quimper
0,0,1,Orange,Saint-Servais
1,1,0,Orange,Pleuven
1,1,1,SFR,Pleuven
1,1,1,Bouygues,Pleuven
1,1,0,Orange,Saint-Ségal
1,1,1,Orange,Châteaulin
0,1,0,Orange,Bodilis
0,1,0,SFR,Bodilis
1,1,0,Bouygues,Bodilis
0,1,0,Free,Bodilis
1,1,0,Orange,Cast
1,1,0,Orange,Ergué-Gabéric
1,1,1,SFR,Ergué-Gabéric
1,1,1,Bouygues,Ergué-Gabéric
0,1,1,Free,Ergué-Gabéric
1,1,1,Orange,Pont-de-Buis-lčs-Quimerch
1,1,1,Orange,Ploudiry
0,1,1,Free,Châteaulin
1,1,1,Orange,Fouesnant
1,1,1,SFR,Fouesnant
1,1,1,Bouygues,Fouesnant
0,1,1,Free,Fouesnant
0,1,0,Orange,Ergué-Gabéric
1,1,0,Orange,Saint-Évarzec
1,1,1,SFR,Saint-Évarzec
1,1,1,Bouygues,Saint-Évarzec
1,1,0,Orange,Briec
1,0,0,Bouygues,Quimper
1,1,1,Orange,Cléder
0,1,0,Orange,Fouesnant
0,1,0,Orange,Landivisiau
0,1,1,Orange,Fouesnant
1,1,1,Orange,Landivisiau
1,1,0,Orange,Landivisiau
1,1,0,Orange,Lampaul-Guimiliau
1,1,1,SFR,Lampaul-Guimiliau
1,1,1,Bouygues,Lampaul-Guimiliau
1,1,0,Orange,La Foręt-Fouesnant
0,1,1,Orange,Landivisiau
1,1,1,Orange,Plouvorn
1,1,1,Orange,Plougourvest
1,1,1,SFR,Plouvorn
1,1,1,SFR,Plougourvest
1,1,1,Bouygues,Plouvorn
1,1,1,Bouygues,Plougourvest
1,1,1,Orange,La Foręt-Fouesnant
1,1,1,Orange,Edern
1,1,0,Orange,Saint-Yvi
1,1,1,SFR,Saint-Yvi
1,1,1,Bouygues,Saint-Yvi
0,1,1,Free,Saint-Yvi
1,1,0,Orange,Concarneau
1,1,1,Orange,Concarneau
1,1,1,SFR,Concarneau
1,1,1,Bouygues,Concarneau
0,1,1,Free,Concarneau
1,1,0,Orange,Brasparts
1,1,0,Orange,Pleyben
1,1,0,Orange,Saint-Pol-de-Léon
0,1,1,Free,Saint-Pol-de-Léon
1,1,1,Orange,Guiclan
1,1,0,Orange,Roscoff
