2G,3G,4G,Operateur,lat,lng
1,1,1,Orange,48.39758790891322,-4.4068042732759025
1,1,0,Orange,47.96051111295103,-4.343048133014073
1,1,1,Orange,48.43429846851092,-4.401375404953513
1,1,0,Orange,47.9986417089613,-4.334988000290875
1,1,0,Orange,48.40993845103257,-4.387335572757679
1,1,1,Orange,48.08966680108887,-4.340549286779105
1,1,1,Orange,48.08097872831339,-4.335820330018486
1,1,1,Orange,48.37562243117718,-4.374839210391836
1,1,1,Orange,48.22757757349739,-4.346442599520291
1,1,1,Orange,48.097728036736015,-4.326938598751261
0,1,0,Orange,48.08620252198149,-4.324663429860272
1,0,0,Orange,48.38539697331598,-4.365605305704559
0,1,0,Orange,47.7954372321894,-4.2833640876568095
1,1,1,Orange,47.8063913479894,-4.2768449807850475
1,1,0,Orange,47.833709188591506,-4.279399793826693
1,1,1,Orange,48.45806093561362,-4.359673316010541
1,1,1,Orange,48.085657425974084,-4.299001035684393
1,1,0,Orange,47.91364202754647,-4.269809341382758
1,1,0,Orange,48.65334702346497,-4.3700152960557155
0,1,1,Orange,47.860750029736984,-4.242582421734341
1,1,1,Orange,48.57297591994254,-4.335479929230776
1,1,1,Orange,48.382547679760556,-4.307569572886618
1,1,0,Orange,47.80484095063521,-4.22608144624066
1,1,0,Orange,47.995427806827436,-4.247102210842619
1,1,0,Orange,48.57902636945482,-4.326308613478972
1,1,0,Orange,48.32947405577221,-4.287811301156494
1,1,1,Orange,47.87725803740573,-4.224661753799983
1,1,1,Orange,47.86337585231209,-4.22232579457226
1,1,0,Orange,48.56258418457814,-4.3186954003734375
1,1,0,Orange,48.53377423167179,-4.302569915191667
0,1,0,Orange,47.81061497161911,-4.191515232015477
1,1,1,Orange,48.42637061135008,-4.2691134838556755
1,1,0,Orange,48.444956806875965,-4.265255814491688
1,1,1,Orange,48.129782979857566,-4.218653537810788
1,1,0,Orange,48.465557779133874,-4.264921619419759
1,1,1,Orange,48.36467351553917,-4.246424147456385
1,1,0,Orange,47.98425079096817,-4.193046154888603
1,1,1,Orange,47.826897527205375,-4.171553077147435
1,0,0,Orange,48.48331285338838,-4.25972135727235
1,1,1,Orange,47.88215371727131,-4.166190869725905
1,1,1,Orange,48.4441765911929,-4.235667501180727
1,1,0,Orange,47.959480473180676,-4.166348524988129
1,1,0,Orange,48.06664580570176,-4.17914590600855
1,1,0,Orange,48.31730545639049,-4.212891257749324
1,1,0,Orange,47.94319628418177,-4.147559838865881
1,1,1,Orange,47.876577190742196,-4.13350780959756
1,1,0,Orange,47.97239361359897,-4.1337437258341625
1,1,1,Orange,48.62024409478517,-4.219291002174445
1,1,1,Orange,47.99650765203816,-4.133349989733691
1,1,0,Orange,48.02752451788184,-4.132958609163864
1,1,1,Orange,47.985826092897526,-4.125784519853134
1,1,1,Orange,47.87772986000389,-4.109511880365132
0,1,0,Orange,48.18592263545079,-4.147711946401272
1,1,1,Orange,47.990267348758096,-4.115883829854738
1,1,0,Orange,48.27396344101922,-4.153118808737823
1,0,0,Orange,48.50195272558155,-4.180515073995343
1,1,1,Orange,47.99600160470326,-4.109830546571532
1,1,1,Orange,48.00777970244704,-4.110351464994448
1,1,0,Orange,47.99090654843023,-4.105039759952569
1,1,1,Orange,47.981655727322575,-4.102921813346267
1,1,1,Orange,47.99571899301707,-4.099426896608912
1,0,0,Orange,47.9676516942066,-4.094838388450827
1,1,0,Orange,48.54487467836194,-4.173104853932828
0,0,0,Orange,47.974114239605896,-4.094655878105129
1,1,1,Orange,48.66169313948442,-4.187122710061423
1,1,0,Orange,47.98778121130843,-4.092330960796527
1,1,0,Orange,48.00688480502192,-4.094383144700138
1,0,0,Orange,47.98737690073651,-4.087808158565859
1,1,0,Orange,48.01430639103175,-4.088942673393273
0,1,0,Orange,47.997543707987866,-4.080744267153277
1,1,0,Orange,47.97489116934846,-4.077011272521588
1,1,0,Orange,48.277255324632414,-4.11706493835041
1,1,1,Orange,48.006244741157914,-4.077749652615536
1,1,1,Orange,47.98262990274553,-4.072744634068789
0,0,1,Orange,48.52245675950177,-4.145105830872594
1,1,1,Orange,47.994731404394514,-4.069544772179468
1,1,0,Orange,47.911406871278665,-4.058284197072345
1,1,0,Orange,48.22917679965132,-4.100109402468383
1,1,1,Orange,48.201380046740915,-4.093630620115455
0,1,0,Orange,48.50197306256577,-4.1327673230301825
1,1,0,Orange,48.040177771461465,-4.0692556317045225
1,1,0,Orange,48.16085968584204,-4.0840428936584185
1,1,1,Orange,47.98322413865471,-4.058679668559237
1,1,1,Orange,47.98441382806704,-4.048812132288162
1,1,0,Orange,48.00593811844372,-4.049219124385603
1,1,0,Orange,47.99831431153891,-4.046331203391686
1,1,1,Orange,48.25399178043423,-4.078501202682711
1,1,1,Orange,48.449640132769666,-4.103712719570772
1,1,1,Orange,48.21281447913482,-4.059987403432664
1,1,1,Orange,47.89253230673522,-4.017224847896632
0,1,0,Orange,48.02920971309261,-4.034046575348815
1,1,0,Orange,47.94126174427484,-4.02035194574899
1,1,1,Orange,47.863786488459,-4.008396896588408
1,1,0,Orange,48.09019936854794,-4.0375654859050885
1,1,0,Orange,47.98053913609522,-4.01910752138464
1,1,1,Orange,48.669916129558224,-4.105771572873828
0,1,0,Orange,47.88453228740999,-3.999173398907952
0,1,0,Orange,48.50291938191657,-4.0793303026682235
0,1,1,Orange,47.86058085541368,-3.9869076136623907
1,1,1,Orange,48.50720760651436,-4.069226649798622
1,1,0,Orange,48.52455423282358,-4.068987389267233
1,1,0,Orange,48.49257600683135,-4.063010945003618
1,1,0,Orange,47.93736996924651,-3.9834118359822344
0,1,1,Orange,48.51461267395374,-4.058182550514114
1,1,0,Orange,48.02465063064868,-3.9908812958397335
1,1,1,Orange,48.57783904636501,-4.049287013109248
1,1,1,Orange,47.91330843348604,-3.95686797826625
1,1,1,Orange,48.111331169792834,-3.9796539625009815
1,1,0,Orange,48.346358709765,-4.0080660893333295
1,1,0,Orange,47.96302513281462,-3.946659705013265
1,1,0,Orange,47.872323791518475,-3.9262961089007153
1,1,1,Orange,47.87167292751213,-3.9198865995677843
1,1,0,Orange,47.881966941538856,-3.917376618000997
1,1,0,Orange,47.9027652481711,-3.9113870083937305
1,1,0,Orange,48.295471271092595,-3.9629983931527337
1,1,0,Orange,48.22837380959967,-3.952646324055926
1,1,1,Orange,47.86566398332893,-3.9033801904889476
1,1,0,Orange,48.69183904892437,-4.005365755192252
1,1,1,Orange,48.5287301848572,-3.975607434279984
1,1,0,Orange,47.86096589882859,-3.8860547319932826
1,1,0,Orange,48.6588126300745,-3.9873141509536514
1,1,0,Orange,47.877355796298374,-3.880490137880424
1,1,0,Orange,48.71298254453753,-3.987781245422807
1,1,1,Orange,48.66888839915673,-3.981656291287434
0,1,0,Orange,47.85851228445089,-3.8683120613739392
1,1,0,Orange,47.994616807392646,-3.884903483944257
0,1,1,Orange,48.72225995635928,-3.968923202150956
1,1,0,Orange,47.80401126232538,-3.8414651400034416
1,1,0,Orange,47.903684543919795,-3.852687818432759
1,1,1,Orange,47.85464878726831,-3.840497001797674
0,1,1,Orange,47.97012479978541,-3.8376880588169997
0,1,1,Orange,47.95165165465189,-3.8318047361371264
1,1,0,Orange,48.4131146101291,-3.889546037482323
1,1,0,Orange,48.659752317102885,-3.9136317390007855
1,1,0,Orange,47.823574405599985,-3.7950540203162983
1,1,0,Orange,48.61386306095168,-3.8976566404980884
1,1,0,Orange,48.06800599247102,-3.8243022203621435
1,1,1,Orange,48.510003694150846,-3.881765532813843
1,1,0,Orange,48.5514231809104,-3.8844282782976056
1,1,1,Orange,48.189692888334704,-3.8230904616570522
1,1,0,Orange,48.62021268259582,-3.8694187459862506
1,1,1,Orange,47.80498320112992,-3.7576499702151964
1,1,1,Orange,48.56547392928016,-3.855722716661152
0,1,0,Orange,48.582360985229464,-3.8564683067570886
1,1,0,Orange,47.88237369253751,-3.7580394808852313
1,1,1,Orange,47.859013860140024,-3.746780148526286
1,1,0,Orange,48.56976214026899,-3.8303670168847725
1,1,0,Orange,48.57937294717971,-3.8265338196109395
1,1,1,Orange,48.59074531817141,-3.8159198978999624
1,1,1,Orange,48.56318775016665,-3.811851042072295
1,1,0,Orange,48.22142318297243,-3.7513727538629356
1,1,0,Orange,47.870932753841124,-3.698881611710449
1,1,0,Orange,48.534381160974974,-3.783084290231254
1,1,1,Orange,48.69602589944014,-3.8026785701029295
1,1,1,Orange,47.8450960210225,-3.6920083713692287
1,1,0,Orange,48.585426589764516,-3.7812452475599385
1,1,0,Orange,48.348316737785495,-3.749969134654936
1,1,0,Orange,47.93890624936672,-3.6941770418960793
1,1,0,Orange,47.803173497158,-3.6765731302076916
1,1,1,Orange,48.00336787612127,-3.697777341312134
1,1,1,Orange,48.030076219696156,-3.6961541140432317
1,1,0,Orange,47.88162352713231,-3.6558581904388823
1,0,0,Orange,47.95511158975644,-3.6554210558260114
1,1,0,Orange,48.520488995433894,-3.72134641665442
1,1,1,Orange,47.81603230319386,-3.628199894583994
1,1,0,Orange,48.64541403301787,-3.7254158299456783
1,1,0,Orange,48.243048726664554,-3.672411108316203
1,1,0,Orange,48.32979399418113,-3.661886203418701
1,1,0,Orange,48.572526155906665,-3.687973257033052
1,1,0,Orange,47.79947968701754,-3.5840282798970335
1,1,0,Orange,48.132374664118736,-3.615145385900285
1,1,0,Orange,48.22049740436887,-3.619138180311447
1,1,0,Orange,48.173927057268536,-3.6089274729834813
1,1,0,Orange,48.259997424932266,-3.6158194555345116
1,1,0,Orange,47.871269899561185,-3.5671473112054484
1,1,1,Orange,47.885249031656116,-3.560555656595233
1,1,1,Orange,47.773585236214565,-3.5433579296264264
1,1,1,Orange,47.863197951940506,-3.5509959478312143
1,1,0,Orange,47.87664950766288,-3.5454233042941463
1,1,0,Orange,47.86330155244126,-3.5339518828363463
1,1,0,Orange,47.775311977811455,-3.5147121202018665
0,1,1,Orange,48.2764798659559,-3.5758407744346385
1,1,0,Orange,48.651998332293424,-3.6230882329239407
1,1,0,Orange,47.96149084729606,-3.530695303262761
1,1,1,Orange,48.278340809026176,-3.569012848707408
1,1,0,Orange,48.283884967081285,-3.569489059740964
1,1,0,Orange,48.09531786174515,-3.5455430245339583
1,1,0,Orange,48.572693453308716,-3.605178575421614
1,1,0,Orange,47.89702330893691,-3.5188543820174947
1,1,0,Orange,48.66231199776582,-3.6143956522792835
1,1,0,Orange,47.73542131491205,-3.4963949431183594
0,0,0,Orange,48.27324866097092,-3.5608976376376686
1,1,0,Orange,48.18703223275246,-3.546446713903845
1,1,1,Orange,48.268457150784464,-3.5537005367049836
1,1,1,Orange,47.78967539329377,-3.488493506012081
0,1,0,Orange,48.27009489320702,-3.538825756696649
1,1,1,Orange,47.63297400923316,-3.458297200359469
1,1,1,Orange,48.044445225091785,-3.4983581229194574
1,1,1,Orange,48.7750151422468,-3.580550021059573
1,1,0,Orange,48.414478056022936,-3.5318067691363324
1,1,0,Orange,48.564806877887015,-3.5497410442688646
1,1,0,Orange,48.771222942903286,-3.575346543114879
1,1,1,Orange,47.73583992653275,-3.438936087098046
